zip,totkbtu,avgkbtu,Total annual customers-Elec,Avg annual customers-Elec,Total annual customers-GAS,Avg annual customers- Gas,Actual Minm Customer Count
94306,0,0,,0,0,0,0
94401,561990248.6,47835.74254,140980,11748.33333,105107,8758.916667,11748.33333
94402,675093694.9,70702.77831,114580,9548.333333,103192,8599.333333,9548.333333
94403,876292162.3,54034.84963,194606,16217.16667,157734,13144.5,16217.16667
94404,694356782.2,48126.47726,173133,14427.75,115953,9662.75,14427.75
94501,849797599.6,43650.43595,,0,233619,19468.25,19468.25
94502,202285639.8,40146.66045,,0,60464,5038.666667,5038.666667
94503,358629965.2,66471.42676,64743,5395.25,63948,5329,5395.25
94505,392037142.2,74723.55708,62958,5246.5,62586,5215.5,5246.5
94506,829178911.1,99695.87629,99805,8317.083333,97624,8135.333333,8317.083333
94507,705002314,130856.8741,64651,5387.583333,63908,5325.666667,5387.583333
94508,74517702.46,80342.53635,11130,927.5,9012,751,927.5
94509,1363983057,61093.01677,267916,22326.33333,249247,20770.58333,22326.33333
94510,612770062.9,56156.04313,130943,10911.91667,122713,10226.08333,10911.91667
94511,31319645.36,30170.64657,12457,1038.083333,,0,1038.083333
94512,0,0,0,0,0,0,0
94513,1352598742,66766.69932,243103,20258.58333,232315,19359.58333,20258.58333
94514,53739429.52,56602.57651,11393,949.4166667,8031,669.25,949.4166667
94515,161953114.5,61567.42614,31566,2630.5,19632,1636,2630.5
94517,334823696.8,75763.39497,53032,4419.333333,48369,4030.75,4419.333333
94518,608388918.5,62162.96296,117444,9787,110859,9238.25,9787
94519,411305391.7,60770.57672,81218,6768.166667,78997,6583.083333,6768.166667
94520,611922742.3,47713.89432,153898,12824.83333,128123,10676.91667,12824.83333
94521,961973717.9,60764.54996,189974,15831.16667,182211,15184.25,15831.16667
94523,806237793.3,57293.08161,168866,14072.16667,140469,11705.75,14072.16667
94525,90166869.66,56126.28052,19278,1606.5,18266,1522.166667,1606.5
94526,1061377117,87384.91004,145752,12146,141882,11823.5,12146
94528,62819411.97,166079.0799,4539,378.25,4433,369.4166667,378.25
94530,546860940,52283.24328,125515,10459.58333,116130,9677.5,10459.58333
94531,941378487.4,73086.97327,154563,12880.25,152866,12738.83333,12880.25
94533,1479442035,62604.66051,283578,23631.5,274480,22873.33333,23631.5
94534,886111714.2,68126.19293,156083,13006.91667,150412,12534.33333,13006.91667
94535,0,0,0,0,0,0,0
94536,1277310988,53457.5811,286727,23893.91667,253311,21109.25,23893.91667
94538,980442217.1,45897.45066,256339,21361.58333,184727,15393.91667,21361.58333
94539,1013603500,62246.31916,195405,16283.75,185982,15498.5,16283.75
94541,1097771166,51301.91329,256779,21398.25,228664,19055.33333,21398.25
94542,312113081.2,64040.71154,58484,4873.666667,48642,4053.5,4873.666667
94544,1163179204,52981.15596,263455,21954.58333,234413,19534.41667,21954.58333
94545,511880371,57014.9667,107736,8978,105836,8819.666667,8978
94546,940873937.2,57299.90178,197042,16420.16667,183758,15313.16667,16420.16667
94547,501206227.7,58287.13629,103187,8598.916667,97283,8106.916667,8598.916667
94548,10106504.36,39401.57647,3078,256.5,0,0,256.5
94549,971835868.2,92593.2752,125949,10495.75,117668,9805.666667,10495.75
94550,1179157723,67040.13286,211066,17588.83333,199699,16641.58333,17588.83333
94551,781647277.4,57362.2924,163518,13626.5,150381,12531.75,13626.5
94552,313194961.9,63269.57918,59402,4950.166667,55233,4602.75,4950.166667
94553,1088755172,58622.94858,222866,18572.16667,209956,17496.33333,18572.16667
94555,609943148.2,53556.63687,136665,11388.75,135780,11315,11388.75
94556,494170872.5,83709.29928,70841,5903.416667,65784,5482,5903.416667
94558,1556685583,64623.82334,289061,24088.41667,243148,20262.33333,24088.41667
94559,581213808,55543.69069,125569,10464.08333,117105,9758.75,10464.08333
94560,735275300.6,52965.45693,166586,13882.16667,155062,12921.83333,13882.16667
94561,814444705.4,62998.10145,155137,12928.08333,140144,11678.66667,12928.08333
94562,8000921.632,63879.61383,1503,125.25,,0,125.25
94563,711790671.4,105796.5945,80735,6727.916667,78729,6560.75,6727.916667
94564,402471966.6,58534.28189,82510,6875.833333,76992,6416,6875.833333
94565,1679111580,59392.55184,339257,28271.41667,324192,27016,28271.41667
94566,1094640780,71881.06377,182742,15228.5,166749,13895.75,15228.5
94567,8733761.228,29398.35476,3565,297.0833333,,0,297.0833333
94568,1163631862,55522.52677,251494,20957.83333,227344,18945.33333,20957.83333
94569,0,0,0,0,0,0,0
94571,244900557.8,52534.97844,55940,4661.666667,53725,4477.083333,4661.666667
94572,176617736.8,60797.844,33221,2768.416667,34860,2905,2905
94573,10223887.4,60022.82231,2044,170.3333333,,0,170.3333333
94574,274297416.6,74221.36283,44348,3695.666667,35298,2941.5,3695.666667
94576,15391184,75880.94004,2434,202.8333333,1968,164,202.8333333
94577,880910118.9,53685.93382,196903,16408.58333,172152,14346,16408.58333
94578,666272810,46762.54983,170976,14248,127404,10617,14248
94579,405740002.4,63406.78269,76788,6399,72866,6072.166667,6399
94580,512044818.7,56376.56159,108991,9082.583333,99925,8327.083333,9082.583333
94582,885531023.3,62979.67889,168727,14060.58333,164250,13687.5,14060.58333
94583,922611509.9,65920.83382,167949,13995.75,155836,12986.33333,13995.75
94585,587096837,60709.03457,116048,9670.666667,107134,8927.833333,9670.666667
94586,25339682.18,68270.36062,4454,371.1666667,3066,255.5,371.1666667
94587,1132995689,55298.654,245864,20488.66667,218794,18232.83333,20488.66667
94588,730731892.6,62516.7201,140263,11688.58333,119592,9966,11688.58333
94589,563627030.1,60800.6433,111241,9270.083333,104487,8707.25,9270.083333
94590,743984054.8,52265.95239,170815,14234.58333,157134,13094.5,14234.58333
94591,1142722500,59336.00746,231102,19258.5,217497,18124.75,19258.5
94595,491744846,49692.52921,118749,9895.75,82879,6906.583333,9895.75
94596,559151018.7,58955.74439,113811,9484.25,77122,6426.833333,9484.25
94597,523904970.6,48995.51609,128315,10692.91667,98933,8244.416667,10692.91667
94598,788656223.8,75826.25339,124810,10400.83333,113788,9482.333333,10400.83333
94599,64637648.4,61598.77547,12592,1049.333333,11314,942.8333333,1049.333333
94601,717616739.4,48672.60632,176925,14743.75,158924,13243.66667,14743.75
94602,613737847.7,52314.63399,140780,11731.66667,131541,10961.75,11731.66667
94603,508721517.8,53295.31196,114544,9545.333333,111989,9332.416667,9545.333333
94605,919296872.1,58089.28826,189907,15825.58333,180193,15016.08333,15825.58333
94606,629051804.9,42657.4611,176959,14746.58333,141509,11792.41667,14746.58333
94607,393613335.5,38829.37116,121644,10137,70427,5868.916667,10137
94608,497549089.3,35547.6844,167960,13996.66667,105979,8831.583333,13996.66667
94609,400593474.1,43326.52873,110951,9245.916667,101024,8418.666667,9245.916667
94610,656087494.5,43750.83319,179952,14996,122092,10174.33333,14996
94611,1062447833,64157.15499,198721,16560.08333,165650,13804.16667,16560.08333
94612,205591180,31544.48486,78210,6517.5,29578,2464.833333,6517.5
94613,0,0,0,0,0,0,0
94618,426317261.2,58522.5489,87416,7284.666667,83668,6972.333333,7284.666667
94619,531096465.6,57328.55011,111169,9264.083333,106696,8891.333333,9264.083333
94621,452928935.2,49879.29467,108966,9080.5,95651,7970.916667,9080.5
94702,329650137.3,45833.54553,86308,7192.333333,79979,6664.916667,7192.333333
94703,372149283.5,43595.49188,102437,8536.416667,95257,7938.083333,8536.416667
94704,271824509.5,33787.30618,96542,8045.166667,61441,5120.083333,8045.166667
94705,352770404.3,62203.28927,68055,5671.25,61695,5141.25,5671.25
94706,314832176.3,45158.81085,83660,6971.666667,71642,5970.166667,6971.666667
94707,348641535.7,69681.85258,60040,5003.333333,59275,4939.583333,5003.333333
94708,349929638.5,75753.27721,55432,4619.333333,54485,4540.416667,4619.333333
94709,213413846.8,42691.30762,59988,4999,48489,4040.75,4999
94710,126435238.4,39968.99,37960,3163.333333,31603,2633.583333,3163.333333
94720,0,0,0,0,0,0,0
94801,465462407.2,48777.82627,114510,9542.5,105446,8787.166667,9542.5
94803,569900156.7,61689.74617,110858,9238.166667,107770,8980.833333,9238.166667
